8.451096415519714355e-01,9.259868264198303223e-01,7.199167013168334961e-01
3.450000000000000000e+01,4.450000000000000000e+01,5.450000000000000000e+01
6.450000000000000000e+01,7.450000000000000000e+01,8.450000000000000000e+01
9.450000000000000000e+01,1.045000000000000000e+02,1.145000000000000000e+02
1.245000000000000000e+02,1.345000000000000000e+02,1.445000000000000000e+02
1.545000000000000000e+02,1.645000000000000000e+02,1.745000000000000000e+02
1.845000000000000000e+02,1.945000000000000000e+02,2.045000000000000000e+02
2.145000000000000000e+02,2.245000000000000000e+02,2.345000000000000000e+02
2.445000000000000000e+02,2.545000000000000000e+02,2.645000000000000000e+02
2.745000000000000000e+02,2.845000000000000000e+02,2.945000000000000000e+02
3.045000000000000000e+02,3.145000000000000000e+02,3.245000000000000000e+02
3.345000000000000000e+02,3.445000000000000000e+02,3.545000000000000000e+02
3.645000000000000000e+02,3.745000000000000000e+02,3.845000000000000000e+02
3.945000000000000000e+02,4.045000000000000000e+02,4.145000000000000000e+02
4.245000000000000000e+02,4.345000000000000000e+02,4.445000000000000000e+02
4.545000000000000000e+02,4.645000000000000000e+02,4.745000000000000000e+02
4.845000000000000000e+02,4.945000000000000000e+02,5.045000000000000000e+02
5.145000000000000000e+02,5.245000000000000000e+02,5.345000000000000000e+02
5.445000000000000000e+02,5.545000000000000000e+02,5.645000000000000000e+02
5.745000000000000000e+02,5.845000000000000000e+02,5.945000000000000000e+02
6.045000000000000000e+02,6.145000000000000000e+02,6.245000000000000000e+02
6.345000000000000000e+02,6.445000000000000000e+02,6.545000000000000000e+02
6.645000000000000000e+02,6.745000000000000000e+02,6.845000000000000000e+02
6.945000000000000000e+02,7.045000000000000000e+02,7.145000000000000000e+02
7.245000000000000000e+02,7.345000000000000000e+02,7.445000000000000000e+02
7.545000000000000000e+02,7.645000000000000000e+02,7.745000000000000000e+02
7.845000000000000000e+02,7.945000000000000000e+02,8.045000000000000000e+02
8.145000000000000000e+02,8.245000000000000000e+02,8.345000000000000000e+02
8.445000000000000000e+02,8.545000000000000000e+02,8.645000000000000000e+02
8.745000000000000000e+02,8.845000000000000000e+02,8.945000000000000000e+02
9.045000000000000000e+02,9.145000000000000000e+02,9.245000000000000000e+02
